commune_name_ascii,daira_name_ascii,wilaya_name_ascii
تيمقتن,Aoulef,Adrar
بودة,Adrar,Adrar
أولاد أحمد تيمي,Adrar,Adrar
أدرار,Adrar,Adrar
فنوغيل,Fenoughil,Adrar
إن زغمير,Zaouiat Kounta,Adrar
رقان,Reggane,Adrar
سالي,Reggane,Adrar
السبع,Tsabit,Adrar
تسابيت,Tsabit,Adrar
تامست,Fenoughil,Adrar
تامنطيط,Fenoughil,Adrar
تيت,Aoulef,Adrar
زاوية كنتة,Zaouiat Kounta,Adrar
اقبلي,Aoulef,Adrar
أولف,Aoulef,Adrar
تلعصة,Abou El Hassane,Chlef
الزبوجة,Zeboudja,Chlef
الحجاج,Ouled Ben Abdelkader,Chlef
أولاد بن عبد القادر,Ouled Ben Abdelkader,Chlef
عين مران,Ain Merane,Chlef
بريرة,Beni Haoua,Chlef
أولاد عباس,Oued Fodda,Chlef
وادي الفضة,Oued Fodda,Chlef
بني راشد,Oued Fodda,Chlef
الهرانفة,Ain Merane,Chlef
تاجنة,Abou El Hassane,Chlef
المرسى,El Marsa,Chlef
الشلف,Chlef,Chlef
أم الدروع,Chlef,Chlef
سنجاس,Chlef,Chlef
سيدي عبد الرحمن,Tenes,Chlef
سيدي عكاشة,Tenes,Chlef
تنس,Tenes,Chlef
بني بوعتاب,El Karimia,Chlef
الكريمية,El Karimia,Chlef
حرشون,El Karimia,Chlef
بوزغاية,Zeboudja,Chlef
تاوقريت,Taougrit,Chlef
بني حواء,Beni Haoua,Chlef
أبو الحسن,Abou El Hassane,Chlef
وادي قوسين,Beni Haoua,Chlef
الشطية,Ouled Fares,Chlef
مصدق,El Marsa,Chlef
أولاد فارس,Ouled Fares,Chlef
بوقادير,Boukadir,Chlef
وادي سلي,Boukadir,Chlef
الصبحة,Boukadir,Chlef
بنايرية,Zeboudja,Chlef
الأبيض مجاجة,Ouled Fares,Chlef
الظهرة,Taougrit,Chlef
البيضاء,Gueltat Sidi Saad,Laghouat
قلتة سيدي سعد,Gueltat Sidi Saad,Laghouat
بريدة,Brida,Laghouat
عين سيدي علي,Gueltat Sidi Saad,Laghouat
تاجموت,Ain Madhi,Laghouat
الحاج مشري,Brida,Laghouat
تاويالة,Brida,Laghouat
الغيشة,El Ghicha,Laghouat
تاجرونة,Ain Madhi,Laghouat
سبقاق,Aflou,Laghouat
سيدي بوزيد,Aflou,Laghouat
وادي مرة,Oued Morra,Laghouat
الأغواط,Laghouat,Laghouat
وادي مزي,Oued Morra,Laghouat
قصر الحيران,Ksar El Hirane,Laghouat
العسافية,Sidi Makhlouf,Laghouat
سيدي مخلوف,Sidi Makhlouf,Laghouat
حاسي الدلاعة,Hassi R'mel,Laghouat
حاسي الرمل,Hassi R'mel,Laghouat
عين ماضي,Ain Madhi,Laghouat
الحويطة,Ain Madhi,Laghouat
الخنق,Ain Madhi,Laghouat
بن ناصر بن شهرة,Ksar El Hirane,Laghouat
أفلو,Aflou,Laghouat
فكيرينة,F'kirina,Oum El Bouaghi
الفجوج بوغرارة سعودي,Ain Fekroun,Oum El Bouaghi
عين فكرون,Ain Fekroun,Oum El Bouaghi
الرحية,Meskiana,Oum El Bouaghi
مسكيانة,Meskiana,Oum El Bouaghi
البلالة,Meskiana,Oum El Bouaghi
بحير الشرقي,Meskiana,Oum El Bouaghi
قصر الصباحي,Ksar Sbahi,Oum El Bouaghi
سوق نعمان,Souk Naamane,Oum El Bouaghi
أولاد زواي,Souk Naamane,Oum El Bouaghi
أم البواقي,Oum El Bouaghi,Oum El Bouaghi
عين ببوش,Ain Babouche,Oum El Bouaghi
عين الزيتون,Oum El Bouaghi,Oum El Bouaghi
بئر الشهداء,Souk Naamane,Oum El Bouaghi
عين البيضاء,Ain Beida,Oum El Bouaghi
بريش,Ain Beida,Oum El Bouaghi
الزرق,Ain Beida,Oum El Bouaghi
عين مليلة,Ain M'lila,Oum El Bouaghi
أولاد قاسم,Ain M'lila,Oum El Bouaghi
أولاد حملة,Ain M'lila,Oum El Bouaghi
العامرية,Sigus,Oum El Bouaghi
سيقوس,Sigus,Oum El Bouaghi
وادي نيني,F'kirina,Oum El Bouaghi
عين الديس,Ain Babouche,Oum El Bouaghi
الضلعة,Dhalaa,Oum El Bouaghi
الجازية,Dhalaa,Oum El Bouaghi
عين كرشة,Ain Kercha,Oum El Bouaghi
الحرملية,Ain Kercha,Oum El Bouaghi
هنشير تومغني,Ain Kercha,Oum El Bouaghi
معافة,Ain Touta,Batna
القصبات,Ras El Aioun,Batna
تيمقاد,Timgad,Batna
تاكسلانت,Ouled Si Slimane,Batna
أولاد سي سليمان,Ouled Si Slimane,Batna
لمسان,Ouled Si Slimane,Batna
تالخمت,Ras El Aioun,Batna
رأس العيون,Ras El Aioun,Batna
الرحبات,Ras El Aioun,Batna
أولاد سلام,Ras El Aioun,Batna
القيقبة,Ras El Aioun,Batna
ثنية العابد,Theniet El Abed,Batna
باتنة,Batna,Batna
فسديس,Batna,Batna
وادي الشعبة,Batna,Batna
حيدوسة,Merouana,Batna
قصر بلزمة,Merouana,Batna
مروانة,Merouana,Batna
وادي الماء,Merouana,Batna
لازرو,Seriana,Batna
سريانة,Seriana,Batna
زانة البيضاء,Seriana,Batna
منعة,Menaa,Batna
تغرغار,Menaa,Batna
عين ياقوت,El Madher,Batna
بومية,El Madher,Batna
جرمة,El Madher,Batna
المعذر,El Madher,Batna
عيون العصافير,Tazoult,Batna
تازولت,Tazoult,Batna
بومقر,N'gaous,Batna
نقاوس,N'gaous,Batna
سفيان,N'gaous,Batna
أريس,Arris,Batna
تيغانمين,Arris,Batna
عين جاسر,Ain Djasser,Batna
الحاسي,Ain Djasser,Batna
سقانة,Seggana,Batna
تيلاطو,Seggana,Batna
فم الطوب,Ichemoul,Batna
إشمول,Ichemoul,Batna
إينوغيسن,Ichemoul,Batna
بوزينة,Bouzina,Batna
لارباع,Bouzina,Batna
بولهيلات,Chemora,Batna
الشمرة,Chemora,Batna
بريكة,Barika,Batna
بيطام,Barika,Batna
إمدوكل,Barika,Batna
عزيل عبد القادر,Djezzar,Batna
الجزار,Djezzar,Batna
أولاد عمار,Djezzar,Batna
غسيرة,Tkout,Batna
كيمل,Tkout,Batna
تكوت,Tkout,Batna
عين التوتة,Ain Touta,Batna
بني فضالة الحقانية,Ain Touta,Batna
أولاد فاضل,Timgad,Batna
أولاد عوف,Ain Touta,Batna
شير,Theniet El Abed,Batna
وادي الطاقة,Theniet El Abed,Batna
سيدي عياد,Sidi Aich,Béjaïa
برباشة,Barbacha,Béjaïa
الفلاي,Sidi Aich,Béjaïa
كنديرة,Barbacha,Béjaïa
سيدي عيش,Sidi Aich,Béjaïa
تيفرة,Sidi Aich,Béjaïa
تينبدار,Sidi Aich,Béjaïa
القصر,El Kseur,Béjaïa
فناية الماثن,El Kseur,Béjaïa
توجة,El Kseur,Béjaïa
ذراع القايد,Kherrata,Béjaïa
خراطة,Kherrata,Béjaïa
بجاية,Bejaia,Béjaïa
وادي غير,Bejaia,Béjaïa
بني معوش,Beni Maouche,Béjaïa
بني جليل,Amizour,Béjaïa
فرعون,Amizour,Béjaïa
سمعون,Amizour,Béjaïa
تيمزريت,Timezrit,Béjaïa
مالبو,Souk El Tenine,Béjaïa
سوق لإثنين,Souk El Tenine,Béjaïa
تامريجت,Souk El Tenine,Béjaïa
بوخليفة,Tichy,Béjaïa
تالة حمزة,Tichy,Béjaïa
تيشي,Tichy,Béjaïa
أيت رزين,Ighil Ali,Béjaïa
إغيل علي,Ighil Ali,Béjaïa
أيت إسماعيل,Darguina,Béjaïa
درقينة,Darguina,Béjaïa
تاسكريوت,Darguina,Béjaïa
أوقاس,Aokas,Béjaïa
تيزي نبربر,Aokas,Béjaïa
أدكار,Adekar,Béjaïa
بني كسيلة,Adekar,Béjaïa
تاوريرت إغيل,Adekar,Béjaïa
أقبو,Akbou,Béjaïa
شلاطة,Akbou,Béjaïa
اغرم,Akbou,Béjaïa
تامقرة,Akbou,Béjaïa
أمالو,Seddouk,Béjaïa
بوحمزة,Seddouk,Béjaïa
مسيسنة,Seddouk,Béjaïa
صدوق,Seddouk,Béjaïa
بني مليكش,Tazmalt,Béjaïa
بو جليل,Tazmalt,Béjaïa
تازمالت,Tazmalt,Béjaïa
أكفادو,Chemini,Béjaïa
شميني,Chemini,Béjaïa
سوق اوفلا,Chemini,Béjaïa
طيبان,Chemini,Béjaïa
أوزلاقن,Ifri Ouzellaguene,Béjaïa
أميزور,Amizour,Béjaïa
الفيض,Zeribet El Oued,Biskra
ليشانة,Tolga,Biskra
بوشقرون,Tolga,Biskra
مخادمة,Ourlal,Biskra
جمورة,Djemorah,Biskra
برانيس,Djemorah,Biskra
الوطاية,El Outaya,Biskra
القنطرة,El Kantara,Biskra
خنقة سيدي ناجي,Zeribet El Oued,Biskra
عين زعطوط,El Kantara,Biskra
زريبة الوادي,Zeribet El Oued,Biskra
المزيرعة,Zeribet El Oued,Biskra
بسكرة,Biskra,Biskra
الحاجب,Biskra,Biskra
مليلي,Ourlal,Biskra
فوغالة,Foughala,Biskra
الغروس,Foughala,Biskra
برج بن عزوز,Tolga,Biskra
أورلال,Ourlal,Biskra
أوماش,Ourlal,Biskra
عين الناقة,Sidi Okba,Biskra
شتمة,Sidi Okba,Biskra
الحوش,Sidi Okba,Biskra
سيدي عقبة,Sidi Okba,Biskra
مشونش,Mechouneche,Biskra
ليوة,Ourlal,Biskra
طولقة,Tolga,Biskra
بشار,Bechar,Béchar
بوكايس,Lahmar,Béchar
لحمر,Lahmar,Béchar
موغل,Lahmar,Béchar
المريجة,Kenadsa,Béchar
تاغيت,Taghit,Béchar
العبادلة,Abadla,Béchar
عرق فراج,Abadla,Béchar
مشرع هواري بومدين,Abadla,Béchar
بني ونيف,Beni Ounif,Béchar
تبلبالة,Tabelbala,Béchar
القنادسة,Kenadsa,Béchar
بني مراد,Ouled Yaich,Blida
اولاد سلامة,Bougara,Blida
موزاية,Mouzaia,Blida
حمام ملوان,Bougara,Blida
بوقرة,Bougara,Blida
صوحان,Larbaa,Blida
الأربعاء,Larbaa,Blida
الصومعة,Boufarik,Blida
قرواو,Boufarik,Blida
بوفاريك,Boufarik,Blida
مفتاح,Meftah,Blida
الشفة,Mouzaia,Blida
عين الرمانة,Mouzaia,Blida
وادي جر,El Affroun,Blida
العفرون,El Affroun,Blida
أولاد يعيش,Ouled Yaich,Blida
الشريعة,Ouled Yaich,Blida
جبابرة,Meftah,Blida
وادي العلايق,Oued El Alleug,Blida
بن خليل,Oued El Alleug,Blida
بني تامو,Oued El Alleug,Blida
الشبلي,Bouinan,Blida
بوعينان,Bouinan,Blida
بوعرفة,Blida,Blida
البليدة,Blida,Blida
عين العلوي,Ain Bessem,Bouira
الحجرة الزرقاء,Bordj Okhriss,Bouira
مزدور,Bordj Okhriss,Bouira
تاقديت,Bordj Okhriss,Bouira
ريدان,Sour El Ghozlane,Bouira
المعمورة,Sour El Ghozlane,Bouira
الحاكمية,Sour El Ghozlane,Bouira
أهل القصر,Bechloul,Bouira
ديرة,Sour El Ghozlane,Bouira
الدشمية,Sour El Ghozlane,Bouira
بشلول,Bechloul,Bouira
آث  منصور,M'chedallah,Bouira
سحاريج,M'chedallah,Bouira
العجيبة,Bechloul,Bouira
الأسنام,Bechloul,Bouira
أمشدالة,M'chedallah,Bouira
برج أوخريص,Bordj Okhriss,Bouira
سور الغزلان,Sour El Ghozlane,Bouira
